id,SDG_001_RAW,SDG_002_RAW,SDG_003_RAW,SDG_004_RAW,SDG_005_RAW,SDG_006_RAW,SDG_007_RAW,SDG_008_RAW,SDG_009_RAW,SDG_010_RAW,SDG_010_1_RAW,SDG_011_RAW,SDG_011_1_RAW,SDG_012_RAW,SDG_001_DIR,SDG_002_DIR,SDG_003_DIR,SDG_004_DIR,SDG_005_DIR,SDG_006_DIR,SDG_007_DIR,SDG_008_DIR,SDG_009_DIR,SDG_010_DIR,SDG_010_1_DIR,SDG_011_DIR,SDG_011_1_DIR,SDG_012_DIR,SDG_RAW_NA,SDG_DIR_NA
rz2oaw3guc,,5JFy8Gp@gmail.com,,Masculino,,,800 mil – 999 mil,,,Si,,No,NA,No,,5JFy8Gp@gmail.com,,1,,,6,,,1,,0,NA,0,1,1
rzjwbgjhcs,,6ztgA7Pn@gmail.com,,Femenino,,,1.000.000 – 1.500.000,,,No,NA,Si,,Si,,6ztgA7Pn@gmail.com,,0,,,7,,,0,NA,1,,1,1,1
s81pqwxoof,,R9AnArVwE4@gmail.com,,No binario,,,1.000.000 – 1.500.000,,,Si,,Si,,No,,R9AnArVwE4@gmail.com,,0,,,7,,,1,,1,,0,0,0
s95x85yw24,,E0V3MCn@gmail.com,,Femenino,,,200 mil – 399 mil,,,No,NA,No,NA,No,,E0V3MCn@gmail.com,,0,,,3,,,0,NA,0,NA,0,2,2
sbpyt6j1ha,,wuwyjp6Iw@gmail.com,,Femenino,,,1.000.000 – 1.500.000,,,No,NA,No,NA,No,,wuwyjp6Iw@gmail.com,,0,,,7,,,0,NA,0,NA,0,2,2
t55y13od5j,,u6l3gig@gmail.com,,No binario,,,Más de 1.500.000,,,No,NA,No,NA,No,,u6l3gig@gmail.com,,0,,,8,,,0,NA,0,NA,0,2,2
t70dnfpakz,,SEdRxOb@gmail.com,,No binario,,,Menos de 100 mil,,,Si,,No,NA,No,,SEdRxOb@gmail.com,,0,,,1,,,1,,0,NA,0,1,1
tg7qgqq1tj,,59gfH@gmail.com,,No binario,,,600 mil – 799 mil,,,Si,,No,NA,No,,59gfH@gmail.com,,0,,,5,,,1,,0,NA,0,1,1
tgn2znz5zz,,nrbQg391qW@gmail.com,,No binario,,,400 mil – 599 mil,,,No,NA,No,NA,Si,,nrbQg391qW@gmail.com,,0,,,4,,,0,NA,0,NA,1,2,2
tlemko8z97,,Koq9dO@gmail.com,,Femenino,,,Más de 1.500.000,,,Si,,No,NA,Si,,Koq9dO@gmail.com,,0,,,8,,,1,,0,NA,1,1,1
ucn3bqr9on,,SY2G4X@gmail.com,,Masculino,,,1.000.000 – 1.500.000,,,No,NA,Si,,Si,,SY2G4X@gmail.com,,1,,,7,,,0,NA,1,,1,1,1
ud2th5lzzu,,4Jctq@gmail.com,,No binario,,,100 mil – 199 mil,,,Si,,Si,,No,,4Jctq@gmail.com,,0,,,2,,,1,,1,,0,0,0
v2avl317u0,,tYkjS@gmail.com,,Masculino,,,800 mil – 999 mil,,,Si,,Si,,Si,,tYkjS@gmail.com,,1,,,6,,,1,,1,,1,0,0
vhy5bvt4fb,,VeM6MzMK@gmail.com,,No binario,,,1.000.000 – 1.500.000,,,Si,,Si,,No,,VeM6MzMK@gmail.com,,0,,,7,,,1,,1,,0,0,0
vlzy59ejug,,GHT5YTBzU@gmail.com,,Masculino,,,800 mil – 999 mil,,,No,NA,Si,,No,,GHT5YTBzU@gmail.com,,1,,,6,,,0,NA,1,,0,1,1
vozlqe851u,,zYawohE@gmail.com,,No binario,,,Menos de 100 mil,,,No,NA,Si,,Si,,zYawohE@gmail.com,,0,,,1,,,0,NA,1,,1,1,1
vqdlvnygor,,bFpJJLUrr@gmail.com,,No binario,,,Más de 1.500.000,,,No,NA,No,NA,No,,bFpJJLUrr@gmail.com,,0,,,8,,,0,NA,0,NA,0,2,2
vro0gvd7yj,,HZgFSgP3Y@gmail.com,,Masculino,,,Menos de 100 mil,,,Si,,No,NA,No,,HZgFSgP3Y@gmail.com,,1,,,1,,,1,,0,NA,0,1,1
vtrywu4nrg,,2Cr5GGU@gmail.com,,Masculino,,,800 mil – 999 mil,,,No,NA,No,NA,Si,,2Cr5GGU@gmail.com,,1,,,6,,,0,NA,0,NA,1,2,2
vtykzq1kqu,,Iv9Fg@gmail.com,,Femenino,,,600 mil – 799 mil,,,Si,,No,NA,No,,Iv9Fg@gmail.com,,0,,,5,,,1,,0,NA,0,1,1
w5xlp96oau,,LJ5po1lKo@gmail.com,,Masculino,,,600 mil – 799 mil,,,Si,,Si,,Si,,LJ5po1lKo@gmail.com,,1,,,5,,,1,,1,,1,0,0
wju0eu0xqf,,mTRZgTH@gmail.com,,Masculino,,,400 mil – 599 mil,,,Si,,No,NA,No,,mTRZgTH@gmail.com,,1,,,4,,,1,,0,NA,0,1,1
wk2t8qcg3w,,pFswaA@gmail.com,,Femenino,,,1.000.000 – 1.500.000,,,Si,,Si,,Si,,pFswaA@gmail.com,,0,,,7,,,1,,1,,1,0,0
wk4xr8wsuk,,idb6E7V7v@gmail.com,,Masculino,,,800 mil – 999 mil,,,Si,,Si,,Si,,idb6E7V7v@gmail.com,,1,,,6,,,1,,1,,1,0,0
wo5p37bj82,,DIFx6YG@gmail.com,,Femenino,,,100 mil – 199 mil,,,Si,,No,NA,Si,,DIFx6YG@gmail.com,,0,,,2,,,1,,0,NA,1,1,1
wtw44m4z52,,2UiCK@gmail.com,,Masculino,,,Menos de 100 mil,,,Si,,Si,,Si,,2UiCK@gmail.com,,1,,,1,,,1,,1,,1,0,0
wz66hmqsly,,SNvAk@gmail.com,,No binario,,,200 mil – 399 mil,,,No,NA,Si,,No,,SNvAk@gmail.com,,0,,,3,,,0,NA,1,,0,1,1
xc9bj6hzc0,,5mbceLG@gmail.com,,Masculino,,,Más de 1.500.000,,,No,NA,Si,,Si,,5mbceLG@gmail.com,,1,,,8,,,0,NA,1,,1,1,1
xffngnrzht,,nDQcT@gmail.com,,Masculino,,,100 mil – 199 mil,,,No,NA,Si,,No,,nDQcT@gmail.com,,1,,,2,,,0,NA,1,,0,1,1
xh39sayova,,Xfq58jKowO@gmail.com,,Femenino,,,600 mil – 799 mil,,,Si,,Si,,Si,,Xfq58jKowO@gmail.com,,0,,,5,,,1,,1,,1,0,0
xmgtt4u6dz,,Whfaj8ej@gmail.com,,No binario,,,400 mil – 599 mil,,,Si,,Si,,No,,Whfaj8ej@gmail.com,,0,,,4,,,1,,1,,0,0,0
xpg1oybll7,,ChozU@gmail.com,,Masculino,,,1.000.000 – 1.500.000,,,No,NA,Si,,Si,,ChozU@gmail.com,,1,,,7,,,0,NA,1,,1,1,1
xyt9zsqdgv,,Adu4skRV@gmail.com,,Masculino,,,Más de 1.500.000,,,No,NA,Si,,No,,Adu4skRV@gmail.com,,1,,,8,,,0,NA,1,,0,1,1
y1hqhpozbj,,jtASVO8mK@gmail.com,,Masculino,,,Menos de 100 mil,,,No,NA,No,NA,No,,jtASVO8mK@gmail.com,,1,,,1,,,0,NA,0,NA,0,2,2
y6pb1xwr9o,,AJUJqhkPN@gmail.com,,Femenino,,,Menos de 100 mil,,,Si,,No,NA,No,,AJUJqhkPN@gmail.com,,0,,,1,,,1,,0,NA,0,1,1
y7sdbrr5ce,,rqN3m9BMle@gmail.com,,Masculino,,,800 mil – 999 mil,,,Si,,Si,,Si,,rqN3m9BMle@gmail.com,,1,,,6,,,1,,1,,1,0,0
ygjy0r3n2d,,4tuliZL@gmail.com,,No binario,,,Más de 1.500.000,,,Si,,Si,,Si,,4tuliZL@gmail.com,,0,,,8,,,1,,1,,1,0,0
yk9l51x5a4,,7qIxGJ@gmail.com,,No binario,,,Más de 1.500.000,,,Si,,No,NA,No,,7qIxGJ@gmail.com,,0,,,8,,,1,,0,NA,0,1,1
z8wzbqn0pn,,OB4plNfjz@gmail.com,,Masculino,,,800 mil – 999 mil,,,Si,,No,NA,No,,OB4plNfjz@gmail.com,,1,,,6,,,1,,0,NA,0,1,1
zcp64btqg5,,DGm0ab3@gmail.com,,Femenino,,,100 mil – 199 mil,,,No,NA,Si,,No,,DGm0ab3@gmail.com,,0,,,2,,,0,NA,1,,0,1,1
